COUNTY,TOWERCOUNT
SOMERSET,32
SOMERVELL,8
SONOMA,21
SOUTHAMPTON,4
SOUTHEAST FAIRBANKS,14
SPALDING,5
SPARTANBURG,2
SPENCER,17
SPINK,8
SPOKANE,22
SPOTSYLVANIA,4
ST. BERNARD,3
ST. CHARLES,18
ST. CLAIR,48
ST. CROIX,18
ST. FRANCIS,5
ST. FRANCOIS,6
ST. HELENA,5
ST. JAMES,6
ST. JOHN THE BAPTIST,6
ST. JOHNS,18
ST. JOSEPH,34
ST. LANDRY,17
ST. LAWRENCE,18
ST. LOUIS,57
ST. LUCIE,7
ST. MARTIN,15
ST. MARY,20
ST. MARY'S,13
ST. TAMMANY,12
STAFFORD,14
STANISLAUS,11
STANLEY,9
STANLY,2
STANTON,4
STARK,13
STARKE,8
STARR,17
STAUNTON CITY,1
STE. GENEVIEVE,7
STEARNS,34
STEELE,9
STEPHENS,13
STEPHENSON,2
STERLING,6
STEUBEN,32
STEVENS,16
STEWART,13
STILLWATER,4
STODDARD,4
STOKES,1
STONE,6
STONEWALL,7
STORY,2
STRAFFORD,11
STUTSMAN,13
SUFFOLK,14
SUFFOLK CITY,5
SULLIVAN,26
SULLY,3
SUMMIT,14
SUMNER,10
SUMTER,22
SUNFLOWER,1
SURRY,3
SUSQUEHANNA,5
SUSSEX,27
SUTTER,13
SUTTON,13
SUWANNEE,5
SWEET GRASS,8
SWEETWATER,5
SWIFT,5
SWISHER,7
SWITZERLAND,4
TALBOT,7
TALLADEGA,4
TALLAHATCHIE,2
TALLAPOOSA,7
TAMA,2
TANEY,4
TANGIPAHOA,23
TAOS,4
TATE,5
TATTNALL,3
TAYLOR,50
TAZEWELL,7
TEHAMA,12
TELFAIR,1
TENSAS,2
TERREBONNE,8
TERRELL,9
TERRY,6
TETON,14
TEXAS,11
THAYER,2
THOMAS,11
THROCKMORTON,7
THURSTON,23
TIFT,3
TILLAMOOK,6
TILLMAN,1
TIOGA,10
TIPPAH,3
TIPPECANOE,19
TIPTON,9
TISHOMINGO,4
TITUS,4
TODD,21
TOLLAND,3
TOM GREEN,7
TOMPKINS,2
TOOELE,28
TOOLE,8
TOOMBS,4
TORRANCE,14
TOWNER,3
TOWNS,3
TRAILL,8
TRAVERSE,1
TRAVIS,12
TREASURE,4
TREGO,9
TREMPEALEAU,3
TREUTLEN,3
TRIGG,5
TRIMBLE,2
TRINITY,4
TRIPP,5
TROUP,6
TROUSDALE,2
TRUMBULL,14
TUCKER,6
TULARE,21
TULSA,2
TUNICA,3
TUOLUMNE,2
TURNER,6
TUSCALOOSA,9
TUSCARAWAS,10
TUSCOLA,8
TWIGGS,4
TWIN FALLS,7
TYLER,9
TYRRELL,1
UINTAH,6
ULSTER,11
